"JXT4EGSP0AX100001","2010","04",33880,78
"JXT5EGSP0AX100002","2010","02",6360,96
"JXT4EGSP0AX100003","2010","09",41040,73
"JXT4EGSP0AX100004","2010","03",15330,90
"JXT4EGSP0AX100005","2010","06",43680,71
"JXT4EGSP0AX100006","2010","04",17800,89
"JXT4EGSP0AX100007","2010","03",14850,91
"JXT4EGSP0AX100008","2010","09",23220,85
"JXT5EGSP0AX100009","2010","08",22960,85
"JXT4EGSP0AX100010","2010","07",1050,100
"JXT4EGSP0AX100011","2010","01",3870,98
"JXT5EGSP0AX100012","2010","10",35600,77
"JXT4EGSP0AX100013","2010","08",38800,75
"JXT4EGSP0AX100014","2010","02",1800,99
"JXT4EGSP0AX100015","2010","04",17320,89
"JXT4EGSP0AX100016","2010","11",35640,77
"JXT5EGSP0AX100017","2010","10",95700,37
"JXT4EGSP0AX100018","2010","10",19900,87
"JXT4EGSP0AX100019","2010","02",17760,89
"JXT4EGSP0AX100020","2010","08",28400,82
"JXT4EGSP0AX100021","2010","07",42350,72
"JXT5EGSP0AX100022","2010","11",91080,40
"JXT4EGSP0AX100023","2010","03",23490,85
"JXT4EGSP0AX100024","2010","08",30080,80
"JXT4EGSP0AX100025","2010","03",13410,92
"JXT4EGSP0AX100026","2010","02",9260,94
"JXT5EGSP0AX100027","2010","09",56070,63
"JXT4EGSP0AX100028","2010","02",2660,99
"JXT4EGSP0AX100029","2010","08",2640,99
"JXT4EGSP0AX100030","2010","12",240,100
"JXT5EGSP0AX100031","2010","05",27300,82
"JXT4EGSP0AX100032","2010","01",5030,97
"JXT4EGSP0AX100033","2010","04",8200,95
"JXT5EGSP0AX100034","2010","10",35100,77
"JXT5EGSP0AX100035","2010","06",41220,73
"JXT4EGSP0AX100036","2010","11",31350,80
"JXT5EGSP0AX100037","2010","05",4900,97
"JXT4EGSP0AX100038","2010","08",46560,69
"JXT4EGSP0AX100039","2010","02",5340,97
"JXT4EGSP0AX100040","2010","04",35760,77
"JXT5EGSP0AX100041","2010","11",107910,29
"JXT5EGSP0AX100042","2010","11",29700,81
"JXT5EGSP0AX100043","2010","11",90090,40
"JXT4EGSP0AX100044","2010","01",1750,99
"JXT4EGSP0AX100045","2010","03",11610,93
"JXT4EGSP0AX100046","2010","09",73620,51
"JXT2EGSP0AX100047","2010","04",8960,95
"JXT4EGSP0AX100048","2010","05",26600,83
"JXT2EGSP0AX100049","2010","12",64800,57
"JXT4EGSP0AX100050","2010","12",9120,94
"JXT4EGSP0AX100051","2010","08",67520,55
"JXT5EGSP0AX100052","2010","06",10980,93
"JXT4EGSP0AX100053","2010","07",42140,72
"JXT4EGSP0AX100054","2010","08",18480,88
"JXT4EGSP0AX100055","2010","07",57540,62
"JXT4EGSP0AX100056","2010","07",14560,91
"JXT5EGSP0AX100057","2010","05",8300,95
"JXT5EGSP0AX100058","2010","12",52800,65
"JXT4EGSP0AX100059","2010","11",72270,52
"JXT5EGSP0AX100060","2010","04",1560,99
"JXT4EGSP0AX100061","2010","10",70000,54
"JXT5EGSP0AX100062","2010","09",70470,54
"JXT4EGSP0AX100063","2010","01",2470,99
"JXT4EGSP0AX100064","2010","06",9720,94
"JXT5EGSP0AX100065","2010","01",480,100
"JXT4EGSP0AX100066","2010","12",79920,47
"JXT4EGSP0AX100067","2010","09",56610,63
"JXT4EGSP0AX100068","2010","12",69240,54
"JXT5EGSP0AX100069","2010","09",35910,77
"JXT4EGSP0AX100070","2010","08",23360,85
"JXT2EGSP0AX100071","2010","04",4120,98
"JXT2EGSP0AX100072","2010","11",83160,45
"JXT4EGSP0AX100073","2010","12",18840,88
"JXT5EGSP0AX100074","2010","04",7240,96
"JXT5EGSP0AX100075","2010","08",33360,78
"JXT4EGSP0AX100076","2010","11",109560,27
"JXT4EGSP0AX100077","2010","09",46800,69
"JXT4EGSP0AX100078","2010","11",3190,98
"JXT5EGSP0AX100079","2010","05",21000,86
"JXT4EGSP0AX100080","2010","07",32480,79
"JXT5EGSP0AX100081","2010","04",7240,96
"JXT5EGSP0AX100082","2010","01",6000,96
"JXT5EGSP0AX100083","2010","02",10660,93
"JXT4EGSP0AX100084","2010","05",34250,78
"JXT4EGSP0AX100085","2010","08",57520,62
"JXT4EGSP0AX100086","2010","01",6620,96
"JXT5EGSP0AX100087","2010","01",2840,99
"JXT4EGSP0AX100088","2010","12",53160,65
"JXT4EGSP0AX100089","2010","07",40180,74
"JXT4EGSP0AX100090","2010","03",10080,94
"JXT4EGSP0AX100091","2010","05",27200,82
"JXT5EGSP0AX100092","2010","07",16590,89
"JXT4EGSP0AX100093","2010","10",60600,60
"JXT2EGSP0AX100094","2010","01",4200,98
"JXT5EGSP0AX100095","2010","08",9360,94
